Version,Product,Edition,ProductID
2019,Office,ProPlus,ProPlus2019Volume
2019,Office,Standard,Standard2019Volume
2021 LTSC,Office,ProPlus,ProPlus2021Volume
2021 LTSC,Office,Standard,Standard2021Volume
2024 LTSC,Office,ProPlus,ProPlus2024Volume
2024 LTSC,Office,Standard,Standard2024Volume
2019,Project,Professional,ProjectPro2019Volume
2019,Project,Standard,ProjectStd2019Volume
2021 LTSC,Project,Professional,ProjectPro2021Volume
2021 LTSC,Project,Standard,ProjectStd2021Volume
2024 LTSC,Project,Professional,ProjectPro2024Volume
2024 LTSC,Project,Standard,ProjectStd2024Volume
2019,Visio,Professional,VisioPro2019Volume
2019,Visio,Standard,VisioStd2019Volume
2021 LTSC,Visio,Professional,VisioPro2021Volume
2021 LTSC,Visio,Standard,VisioStd2021Volume
2024 LTSC,Visio,Professional,VisioPro2024Volume
2024 LTSC,Visio,Standard,VisioStd2024Volume
2016,Office,Pro Plus,ProPlusRetail
2016,Project,Standard,ProjectStdXVolume
2016,Project,Professional,ProjectProXVolume
2016,Visio,Standard,VisioStdXVolume
2016,Visio,Professional,VisioProXVolume